article_url|sentence|sentence_index|span_text|span_score|span_start_char|span_end_char|sentence_masked|accessibility|content_gen|automation
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|This story originally appeared in The Algorithm , our weekly newsletter on AI .|0|AI|0.99999917|75|77|This story originally appeared in The Algorithm , our weekly newsletter on {TECHNOLOGY_X} |0.09874478554256844|0.016748615070371668|0.008635696472904651
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|This has been one of the craziest years in AI in a long time : endless product launches , boardroom coups , intense policy debates about AI doom , and a race to find the next big thing .|2|AI|0.9999993|43|45|This has been one of the craziest years in {TECHNOLOGY_X} in a long time : endless product launches , boardroom coups , intense policy debates about AI doom , and a race to find the next big thing |0.1724704430133479|0.01176845952766934|0.007547600398957523
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|But we ’ ve also seen concrete tools and policies aimed at getting the AI sector to behave more responsibly and hold powerful players accountable .|3|AI|0.99907696|71|73|But we ’ ve also seen concrete tools and policies aimed at getting the {TECHNOLOGY_X} sector to behave more responsibly and hold powerful players accountable |0.34302971230844526|0.007102847997111891|0.007724941814436948
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|That gives me a lot of hope for the future of AI .|4|AI|0.9999968|46|48|That gives me a lot of hope for the future of {TECHNOLOGY_X} |0.17556558493205904|0.00664266153438755|0.023584285949387676
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|Here ’ s what 2023 taught me : The year started with Big Tech going all in on generative AI .|5|generative AI|0.99998486|78|91|Here ’ s what 2023 taught me : The year started with Big Tech going all in on {TECHNOLOGY_X} |0.31667478079058425|0.01064472083842162|0.0036650412695850066
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|The runaway success of OpenAI ’ s ChatGPT prompted every major tech company to release its own version .|6|ChatGPT|0.9999107|34|41|The runaway success of OpenAI ’ s {TECHNOLOGY_X} prompted every major tech company to release its own version |0.30298647521473926|0.013299982383017963|0.011343372370193667
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|This year might go down in history as the year we saw the most AI launches : Meta ’ s LLaMA 2 , Google ’ s Bard chatbot and Gemini , Baidu ’ s Ernie Bot , OpenAI ’ s GPT-4 , and a handful of other models , including one from a French open-source challenger , Mistral .|7|AI|0.9997769|63|65|This year might go down in history as the year we saw the most {TECHNOLOGY_X} launches : Meta ’ s LLaMA 2 , Google ’ s Bard chatbot and Gemini , Baidu ’ s Ernie Bot , OpenAI ’ s GPT-4 , and a handful of other models , including one from a French open-source challenger , Mistral |0.19389024013263675|0.01601191320501226|0.01751009691395508
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|This year might go down in history as the year we saw the most AI launches : Meta ’ s LLaMA 2 , Google ’ s Bard chatbot and Gemini , Baidu ’ s Ernie Bot , OpenAI ’ s GPT-4 , and a handful of other models , including one from a French open-source challenger , Mistral .|7|models|0.99970883|197|203|This year might go down in history as the year we saw the most AI launches : Meta ’ s LLaMA 2 , Google ’ s Bard chatbot and Gemini , Baidu ’ s Ernie Bot , OpenAI ’ s GPT-4 , and a handful of other {TECHNOLOGY_X} , including one from a French open-source challenger , Mistral |0.10399245054530112|0.027166159193938725|0.011932380938131667
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|This year might go down in history as the year we saw the most AI launches : Meta ’ s LLaMA 2 , Google ’ s Bard chatbot and Gemini , Baidu ’ s Ernie Bot , OpenAI ’ s GPT-4 , and a handful of other models , including one from a French open-source challenger , Mistral .|7|LLaMA 2|0.88402957|86|93|This year might go down in history as the year we saw the most AI launches : Meta ’ s {TECHNOLOGY_X} , Google ’ s Bard chatbot and Gemini , Baidu ’ s Ernie Bot , OpenAI ’ s GPT-4 , and a handful of other models , including one from a French open-source challenger , Mistral |0.10401339793939222|0.0301389263715418|0.012143513188322887
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|Microsoft and Google pitched powerful AI-powered search , but it turned out to be more of a dud than a killer app .|9|AI|0.9996247|38|40|Microsoft and Google pitched powerful {TECHNOLOGY_X}-powered search , but it turned out to be more of a dud than a killer app |0.23654541017668584|0.011359317320241036|0.014951967267469998
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|The fundamental flaws in language models , such as the fact that they frequently make stuff up , led to some embarrassing ( and , let ’ s be honest , hilarious ) gaffes .|10|language models|0.99999917|25|40|The fundamental flaws in {TECHNOLOGY_X} , such as the fact that they frequently make stuff up , led to some embarrassing ( and , let ’ s be honest , hilarious ) gaffes |0.3166052249065053|0.014433055852776919|0.00425364614528664
https://www.technologyreview.com/2023/12/19/1085696/four-trends-that-changed-ai-in-2023/|There is now a frenetic hunt for a popular AI product that everyone will want to adopt .|13|AI|0.9999887|43|45|There is now a frenetic hunt for a popular {TECHNOLOGY_X} product that everyone will want to adopt |0.6077261488792755|0.003611239442494498|0.011678158887740299
