|cluster_label|spans
0|Large language models|['large language', 'large language model', 'Large language models', 'large language models', 'language models', 'Large Language Models', 'Language Models', 'neural language models', 'multilingual embedding', 'language modeling', 'Large LAnguage', 'AI language models', 'long representations']
1|AI|['AI', 'AI systems', 'AI models', 'AI technology', 'AI services', 'demonstrator', 'conversational AI', 'AIIn', 'AI image model', 'AI algorithms', 'AIEd', 'i=−L', 'AIs', 'AI conferences']
2|models|['models', 'model', 'convincingly model', 'model systems', 'leakage models', 'FaceStudio model', 'guistic Models', 'general models', 'foundational models', 'initial model', 'Large Reconstruction Model', 'general framework', 'classification models', 'special models', 'large models']
3|Reinforcement Learning|['reinforcement learning', 'Reinforcement Learning', 'Visual Reinforcement Learning', 'Reinforcement learning', 'critic model', 'Critic Learning', 'Continual Learning']
4|GPTs|['GPT-2', 'GPT-3.5', 'GPTs', 'GPT technology', 'GPT Models']
5|NLP models|['sentiment analysis', 'NLP models', 'Natural language generation', 'text embedding models', 'Natural Language Processing', 'NLP', 'named entity', 'NLP [ 2', 'NLP model']
6|systems|['systems', 'many systems', 'molecular systems', 'chemical systems', 'fermionic systems', 'smaller systems', 'secure systems', 'cessing Systems', 'closed systems', 'machines', 'weapon systems', 'developing systems', 'micropayment systems', 'proprietary systems', 'disparate systems', 'control systems', 'social systems', 'food systems', 'creating systems']
7|Code|['computer code', 'code', 'Code', 'writing code', 'true_action', 'code generation', 'message', 'trial', 'QR code', 'variable', 'code classification']
8|algorithm|['algorithm', 'algorithms', 'Algorithm 3', 'algorithm IMPALA']
9|web-|['internet', 'web application', 'commercial internet', 'mini-', 'web—', 'web-', 'text-', 'large-', 'multi-', 'com-', 'web representation']
10|data –|['data needed', 'data sets', 'data flows', 'data items', 'data 5', 'data –', 'data utilisation', 'data shows', 'data together', 'data-', 'metadata differences', 'data annotation', 'data—', 'dollars—', 'data coming', 'data showed', 'datasets', 'data sample', 'Survey', 'data 1']
11|robot manipulation|['robot', 'cleaning robot', 'robot manipulation', 'robotic manipulation', 'visual robotic manipulation', 'robot hardware']
12|navigation systems|['lidar systems', 'Visual Navigation', 'maritime navigation', 'navigation systems', 'conventional navigation', 'navigation services', 'Urban Navigation Systems']
13|neural network|['neural networks', 'artificial neural networks', 'Neural Networks', 'neural network', 'artificial neural net-', 'neural net-', 'large neural networks', 'D. neural network', 'Neural Information', 'graph neural network', 'neural embedding', 'Neural Differential Equations', 'neural TTS systems', 'neural network model', 'Neural Network']
14|services|['public services', 'essential services', 'sexual exploitation', 'Web Services', 'their services', 'contractual services', 'services', 'computing services', 'converge computing services', 'Client Services', 'client services', 'them services', 'brokerage services', 'data services', 'execution services', 'customer services', 'cloud services', 'SAP', 'Azure services', 'location services', 'Recreation Services']
15|Information Retrieval|['recommender systems', 'SEO', 'contextual information', 'Query suggestion', 'Information Retrieval', 'text retrieval']
16|spam filters|['spam filters', 'spam detection']
17|emotion recognition systems|['emotion recognition systems', 'emotion recognition', 'Facial Recognition Systems']
18|learning systems|['categorization systems', 'Robot Learning', 'learning systems', 'robot learning', 'ment Learning', 'End learning', 'L. Learning', 'Learning Systems']
19|recognition|['facial recognition', 'identification systems', 'speech recognition', 'discriminator', 'Pattern Recognition', 'face recognition', 'image recognition', 'recognition', 'character recognition', 'computer vision algorithms']
20|social sciences|['social scoring', 'social sciences', 'Educational Sciences', 'Education 6', 'Sociocultural Systems']
21|Technology|['technology', 'current technology', 'material exploration', 'Internet Technology', 'Technology', 'information technology', 'leapfrog technology', 'Educational Technology', 'tech seems', 'technology solutions', 'growth', 'tech devices', 'Conceptual Advantage']
22|LLM|['LLMs', 'GTM', 'SSM', 'DMRG', 'LLM']
23|APIs|['APIs', 'API', 'commercial implementations']
24|DR|['doctor', 'AS', 'maybe sitting', 'glad', 'DR', 'DQ']
25|ChatGPT|['ChatGPT', 'ChatGPT specifications', 'WhatsApp']
26|potential violations|['reputational damage', 'potential litigation', 'potential violations', 'Potential Violation 6', 'current situation', 'con- volution', 'chain disruptions', 'unintentional discrimination']
27|generative models|['generative AI', 'generative models', 'generative AI models', 'generative functions', 'generative model', 'procedural generation', 'Generative AI', 'multimodal models']
28|linguistic|['natural language', 'cultural differences', 'discourse analysis', 'linguistic', 'despicable language', 'linguistic differences', 'Biased Language', 'spoken language', 'common language']
29|CEO|['CEO', 'CEOs', 'moderator']
30|server|['web server', 'server', 'Server Provider', 'SERVER']
