article_filename|sentence|sentence_index|span_text|span_score|span_start_char|span_end_char|sentence_masked|accessibility|content_gen|automation
51_ScienceInnovationUnion_ThinkTank.txt|"AI and Disinformation

Author: Shaan Subramaniam                  Editor: Gregory Milne             Editor-in-Chief: Chandan Seth Nanda

The Bulletin of the Atomic Scientists is one of the oldest organisations dedicated to raising awareness of existential risk."|0|AI|0.9999974|0|2|"{TECHNOLOGY_X} and Disinformation

Author: Shaan Subramaniam                  Editor: Gregory Milne             Editor-in-Chief: Chandan Seth Nanda

The Bulletin of the Atomic Scientists is one of the oldest organisations dedicated to raising awareness of existential risk"|0.111699935723849|0.0126867341010185|0.00345050029985281
51_ScienceInnovationUnion_ThinkTank.txt|Writing in the June 2019 issue of the Bulletin, Herbert Lin, a research fellow at the Center for International Security and Cooperation, proposed a new existential risk he described as cyber-enabled information warfare (1).|2|cyber-|0.9965121|185|191|Writing in the June 2019 issue of the Bulletin, Herbert Lin, a research fellow at the Center for International Security and Cooperation, proposed a new existential risk he described as {TECHNOLOGY_X}enabled information warfare (1)|0.220536882503458|0.0116183052130255|0.00562287921577348
51_ScienceInnovationUnion_ThinkTank.txt|A key development, Lin stressed, was that of highly accessible AI-assisted Deepfake technologies that allow almost anyone to create realistic forgeries at low cost.|5|realistic forgeries|0.8762379|132|151|A key development, Lin stressed, was that of highly accessible AI-assisted Deepfake technologies that allow almost anyone to create {TECHNOLOGY_X} at low cost|0.0531612763704315|0.057600232160125|0.0147774686898727
51_ScienceInnovationUnion_ThinkTank.txt|These technologies would serve as a powerful vector for disinformationfalsehoods deliberately created to harm individuals or organisations.|6|vector|0.99946254|45|51|These technologies would serve as a powerful {TECHNOLOGY_X} for disinformationfalsehoods deliberately created to harm individuals or organisations|0.0787786107399273|0.0113204546938094|0.00311731393163205
51_ScienceInnovationUnion_ThinkTank.txt|Indeed, according to research from the Deepfake monitoring platform Sensity, the majority of Deepfakes produced thus far have no political valence and are made purely for entertainment (including a large NSFW genre) (2).|8|Deepfake monitoring|0.9999924|39|58|Indeed, according to research from the {TECHNOLOGY_X} platform Sensity, the majority of Deepfakes produced thus far have no political valence and are made purely for entertainment (including a large NSFW genre) (2)|0.120091638328273|0.0681371441268713|0.00286458502871956
51_ScienceInnovationUnion_ThinkTank.txt|"The technologies behind AI-assisted disinformation

Neural networks are algorithms that can perform many tasks including learning to classify images into some category (e.g."|12|algorithms|0.9999974|72|82|"The technologies behind AI-assisted disinformation

Neural networks are {TECHNOLOGY_X} that can perform many tasks including learning to classify images into some category (e.g"|0.0395980819034696|0.225340580669629|0.00696932521083032
51_ScienceInnovationUnion_ThinkTank.txt|"The technologies behind AI-assisted disinformation

Neural networks are algorithms that can perform many tasks including learning to classify images into some category (e.g."|12|Neural networks|0.77325904|52|67|"The technologies behind AI-assisted disinformation

{TECHNOLOGY_X} are algorithms that can perform many tasks including learning to classify images into some category (e.g"|0.0293446873517008|0.206790130480949|0.0136783714320273
51_ScienceInnovationUnion_ThinkTank.txt|Technologies that have proven most effective at video and audio manipulation fall into the category of neural networks known as deep generative models.|14|neural networks|0.99998164|103|118|Technologies that have proven most effective at video and audio manipulation fall into the category of {TECHNOLOGY_X} known as deep generative models|0.0488503508798099|0.710063494944904|0.00207030518728011
51_ScienceInnovationUnion_ThinkTank.txt|Technologies that have proven most effective at video and audio manipulation fall into the category of neural networks known as deep generative models.|14|generative models|0.99999857|133|150|Technologies that have proven most effective at video and audio manipulation fall into the category of neural networks known as deep {TECHNOLOGY_X}|0.0414808673106199|0.3080934124209|0.00162781460120933
51_ScienceInnovationUnion_ThinkTank.txt|Within this group, variational autoencoders (VAEs) and generative adversarial networks (GANs) have performed best at learning how to produce images of almost any object.|15|VAEs|0.9922535|45|49|Within this group, variational autoencoders ({TECHNOLOGY_X}) and generative adversarial networks (GANs) have performed best at learning how to produce images of almost any object|0.0949518014530848|0.387043075380226|0.00352388417410292
