article_url|sentence|sentence_index|span_text|span_score|span_start_char|span_end_char|sentence_masked|accessibility|content_gen|automation
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|OpenAI has announced the first results from its superalignment team , the firm ’ s in-house initiative dedicated to preventing a superintelligence—a hypothetical future computer that can outsmart humans—from going rogue .|0|computer|0.98942715|169|177|OpenAI has announced the first results from its superalignment team , the firm ’ s in-house initiative dedicated to preventing a superintelligence—a hypothetical future {TECHNOLOGY_X} that can outsmart humans—from going rogue |0.11426091146157183|0.0257132645411845|0.00474159793611903
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|In a low-key research paper , the team describes a technique that lets a less powerful large language model supervise a more powerful one—and suggests that this might be a small step toward figuring out how humans might supervise superhuman machines .|2|large language|0.9993105|87|101|In a low-key research paper , the team describes a technique that lets a less powerful {TECHNOLOGY_X} model supervise a more powerful one—and suggests that this might be a small step toward figuring out how humans might supervise superhuman machines |0.06150464609278682|0.013796811572121884|0.004248440795362533
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|In a low-key research paper , the team describes a technique that lets a less powerful large language model supervise a more powerful one—and suggests that this might be a small step toward figuring out how humans might supervise superhuman machines .|2|large language model|0.99998367|87|107|In a low-key research paper , the team describes a technique that lets a less powerful {TECHNOLOGY_X} supervise a more powerful one—and suggests that this might be a small step toward figuring out how humans might supervise superhuman machines |0.061841647771657814|0.013368724679258502|0.004306563222250595
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|Less than a month after OpenAI was rocked by a crisis when its CEO , Sam Altman , was fired by its oversight board ( in an apparent coup led by chief scientist Ilya Sutskever ) and then reinstated three days later , the message is clear : it ’ s back to business as usual .|3|CEO|0.9986141|63|66|Less than a month after OpenAI was rocked by a crisis when its {TECHNOLOGY_X} , Sam Altman , was fired by its oversight board ( in an apparent coup led by chief scientist Ilya Sutskever ) and then reinstated three days later , the message is clear : it ’ s back to business as usual |0.11623028830807329|0.021581600405406062|0.005028187258727891
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|“ AI progress in the last few years has been just extraordinarily rapid , ” says Leopold Aschenbrenner , a researcher on the superalignment team .|7|AI|0.99999905|2|4|“ {TECHNOLOGY_X} progress in the last few years has been just extraordinarily rapid , ” says Leopold Aschenbrenner , a researcher on the superalignment team |0.09687132202468714|0.014150314027251934|0.00523691885071103
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|” For Aschenbrenner and others at the company , models with human-like abilities are just around the corner .|9|models|0.5654951|48|54|” For Aschenbrenner and others at the company , {TECHNOLOGY_X} with human-like abilities are just around the corner |0.31438495861431354|0.013669886162609248|0.006291098527268042
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|“ We ’ re going to have superhuman models , models that are much smarter than us .|11|models|0.99987376|44|50|“ We ’ re going to have superhuman models , {TECHNOLOGY_X} that are much smarter than us |0.13026282181768484|0.015143137321396848|0.0035953345120041938
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|” Amid speculation that Altman was fired for playing fast and loose with his company ’ s approach to AI safety , Sutskever ’ s superalignment team loomed behind the headlines .|17|AI|0.99998593|101|103|” Amid speculation that Altman was fired for playing fast and loose with his company ’ s approach to {TECHNOLOGY_X} safety , Sutskever ’ s superalignment team loomed behind the headlines |0.11883983834181022|0.027239352632283012|0.00369580293318141
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|The question the team wants to answer is how to rein in , or “ align , ” hypothetical future models that are far smarter than we are , known as superhuman models .|19|models|0.6767518|93|99|The question the team wants to answer is how to rein in , or “ align , ” hypothetical future {TECHNOLOGY_X} that are far smarter than we are , known as superhuman models |0.06712621810930763|0.015539315861616037|0.0036571884131130993
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|Alignment means making sure a model does what you want it to do and does not do what you don ’ t want it to do .|20|model|0.9999341|30|35|Alignment means making sure a {TECHNOLOGY_X} does what you want it to do and does not do what you don ’ t want it to do |0.07221914835492264|0.029670558979523785|0.006619976064639923
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|One of the most widespread techniques used to align existing models is called reinforcement learning via human feedback .|22|reinforcement learning|0.9999995|78|100|One of the most widespread techniques used to align existing models is called {TECHNOLOGY_X} via human feedback |0.1779564347390192|0.08125409112922305|0.010629107845822824
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|In a nutshell , human testers score a model ’ s responses , upvoting behavior that they want to see and downvoting behavior they don ’ t .|23|model|0.999979|38|43|In a nutshell , human testers score a {TECHNOLOGY_X} ’ s responses , upvoting behavior that they want to see and downvoting behavior they don ’ t |0.22638329829317644|0.021272555764941352|0.003388418837965975
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|This feedback is then used to train the model to produce only the kind of responses that human testers liked .|24|model|0.99997973|40|45|This feedback is then used to train the {TECHNOLOGY_X} to produce only the kind of responses that human testers liked |0.14198752988440536|0.05048627318190471|0.006087730609263743
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|This technique is a big part of what makes ChatGPT so engaging .|25|ChatGPT|0.7293991|43|50|This technique is a big part of what makes {TECHNOLOGY_X} so engaging |0.46026489641455126|0.09558178332215582|0.010486702411289699
https://www.technologyreview.com/2023/12/14/1085344/openai-super-alignment-rogue-agi-gpt-4/|Instead of looking at how humans could supervise superhuman machines , they looked at how GPT-2 , a model that OpenAI released five years ago , could supervise GPT-4 , OpenAI ’ s latest and most powerful model .|31|GPT-2|0.99997926|90|95|Instead of looking at how humans could supervise superhuman machines , they looked at how {TECHNOLOGY_X} , a model that OpenAI released five years ago , could supervise GPT-4 , OpenAI ’ s latest and most powerful model |0.11137328440073362|0.014976506729279476|0.009317374408412678
